Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Threshold,Percentage
15074,13300,1774,82.40,0.39814600,0.96843292,0.80473684,0.19526316,0.56429627,0.55118975,0.0022179025691002607,100%
15074,13300,1774,82.64,0.39980984,0.94813980,0.81015038,0.18984962,0.56244775,0.54474966,0.002107007440645248,95%
15074,13300,1774,83.67,0.41520612,0.94813980,0.82187970,0.17812030,0.57751073,0.55972322,0.0019961123121902346,90%
15074,13300,1774,83.69,0.41541121,0.94813980,0.82203008,0.17796992,0.57770908,0.55991998,0.0018852171837352217,85%
15074,13300,1774,83.67,0.41174962,0.90473506,0.82759398,0.17240602,0.56593794,0.53894541,0.0017743220552802086,80%
15074,13300,1774,84.16,0.41817697,0.88444194,0.83586466,0.16413534,0.56786102,0.53681795,0.0016634269268251956,75%
15074,13300,1774,84.34,0.41799385,0.84329200,0.84338346,0.15661654,0.55893891,0.52001852,0.0015525317983701825,70%
15074,13300,1774,84.80,0.41974542,0.76211950,0.85947368,0.14052632,0.54134134,0.48865165,0.0014416366699151694,65%
15074,13300,1774,84.64,0.41277007,0.72153326,0.86308271,0.13691729,0.52512821,0.46603757,0.0013307415414601565,60%
15074,13300,1774,86.33,0.44409695,0.64036077,0.89308271,0.10691729,0.52446907,0.45793937,0.0012198464130051434,55%
15074,13300,1774,87.19,0.46452779,0.57948140,0.91090226,0.08909774,0.51567595,0.44648877,0.0011089512845501304,50%
