App,Model,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold,New
AsnAsn,model/Applications/below500/AsnAsn/AsnAsnOnly.pth,15074,14826,248,99.06,0.64902507,0.93951613,0.99150142,0.00849858,0.76771005,0.7767269,4,182-91-45-16-45-91-182,964,7.362e-05,7.181e-05,2.77,7.181e-05,5.958e-05,0.0001760415325406,True
BeeerBeeer,model/Applications/below500/BeeerBeeer/BeeerBeeerOnly.pth,15074,14732,342,99.46,0.8372093,0.94736842,0.99572359,0.00427641,0.88888889,0.88792431,4,182-91-45-16-45-91-182,1859,0.00013275,0.00014399,7.54,0.00014399,0.00010767,0.0003726598806679,True
BiglySoftwreBiglyBT,model/Applications/below500/BiglySoftwreBiglyBT/BiglySoftwreBiglyBTOnly.pth,15074,14933,141,99.9,1.0,0.89361702,1.0,0.0,0.94382022,0.94483877,4,182-91-45-16-45-91-182,1520,0.00023006,0.0001678,5.1,0.0001678,0.00033276,0.0005267448723316,True
BrveBrve,model/Applications/below500/BrveBrve/BrveBrveOnly.pth,15074,14924,150,99.87,1.0,0.87333333,1.0,0.0,0.93238434,0.93392874,4,182-91-45-16-45-91-182,1381,4.878e-05,3.45e-05,6.49,3.45e-05,6.241e-05,5.177778075449169e-05,True
CloudAGCloudDrive,model/Applications/below500/CloudAGCloudDrive/CloudAGCloudDriveOnly.pth,15074,14996,78,95.63,0.10055096,0.93589744,0.95645505,0.04354495,0.18159204,0.29902498,4,182-91-45-16-45-91-182,1239,3.641e-05,5.202e-05,5.62,5.202e-05,0.00015318,0.0004684778105001,True
CozyCloudCozyDrive,model/Applications/below500/CozyCloudCozyDrive/CozyCloudCozyDriveOnly.pth,15074,15002,72,99.67,0.60377358,0.88888889,0.99720037,0.00279963,0.71910112,0.73111128,4,182-91-45-16-45-91-182,641,4.65e-06,4.86e-06,3.29,4.86e-06,8.2e-07,5.529967893380672e-06,True
CrineCrine,model/Applications/below500/CrineCrine/CrineCrineOnly.pth,15074,14842,232,99.42,0.75086505,0.93534483,0.9951489,0.0048511,0.83301344,0.83530306,4,182-91-45-16-45-91-182,1276,0.00018936,0.00017516,8.16,0.00017516,0.00055658,0.0002219291927758,True
DeezerDeezer,model/Applications/below500/DeezerDeezer/DeezerDeezerOnly.pth,15074,14812,262,98.04,0.46994536,0.98473282,0.98035377,0.01964623,0.63625154,0.67325492,4,182-91-45-16-45-91-182,1493,7.503e-05,8.469e-05,9.78,8.469e-05,0.00013904,0.0005181431188248,True
EvernoteEvernote,model/Applications/below500/EvernoteEvernote/EvernoteEvernoteOnly.pth,15074,14605,469,99.34,0.85964912,0.94029851,0.99507018,0.00492982,0.89816701,0.89570654,4,182-91-45-16-45-91-182,1910,0.00014146,0.00014514,18.44,0.00014514,0.00026517,0.0004026992246508,True
GoogleChrome,model/Applications/below500/GoogleChrome/GoogleChromeOnly.pth,15074,14787,287,96.56,0.35089974,0.95121951,0.96584838,0.03415162,0.51267606,0.56648107,4,182-91-45-16-45-91-182,1449,0.00023026,0.00022306,19.95,0.00022306,0.00033407,0.0003748406888917,True
LINELINE,model/Applications/below500/LINELINE/LINELINEOnly.pth,15074,14979,95,99.89,1.0,0.82105263,1.0,0.0,0.9017341,0.9056058,4,182-91-45-16-45-91-182,1041,2.25e-05,7.06e-06,5.4,7.06e-06,5.32e-06,1.1014648407581262e-05,True
MegMEGASyn,model/Applications/below500/MegMEGASyn/MegMEGASynOnly.pth,15074,15039,35,99.97,1.0,0.88571429,1.0,0.0,0.93939394,0.94099882,4,182-91-45-16-45-91-182,285,0.0,0.0,1.03,0.0,0.0,1.7370505034364214e-10,True
MehediHssnTweeten,model/Applications/below500/MehediHssnTweeten/MehediHssnTweetenOnly.pth,15074,15038,36,99.97,1.0,0.88888889,1.0,0.0,0.94117647,0.94268368,4,182-91-45-16-45-91-182,292,0.0,0.0,0.99,0.0,0.0,5.191024832207346e-10,True
MilbirdMilbird,model/Applications/below500/MilbirdMilbird/MilbirdMilbirdOnly.pth,15074,15059,15,99.99,1.0,0.93333333,1.0,0.0,0.96551724,0.96605971,4,182-91-45-16-45-91-182,776,9.61e-06,6.4e-07,2.71,6.4e-07,0.0,6.44625572476798e-07,True
MirosoftEdge,model/Applications/below500/MirosoftEdge/MirosoftEdgeOnly.pth,15074,14999,75,99.77,0.69902913,0.96,0.9979332,0.0020668,0.80898876,0.81818778,4,182-91-45-16-45-91-182,931,0.0001525,8.301e-05,3.44,8.301e-05,0.00017844,0.0005043324199505,True
MozillThunderbird,model/Applications/below500/MozillThunderbird/MozillThunderbirdOnly.pth,15074,14821,253,99.06,0.67073171,0.86956522,0.99271304,0.00728696,0.75731497,0.75922835,4,182-91-45-16-45-91-182,1366,0.00029773,0.0002743,6.06,0.0002743,0.00037106,0.0005968410987406,True
NextloudNextloudDeskto,model/Applications/below500/NextloudNextloudDeskto/NextloudNextloudDesktoOnly.pth,15074,15038,36,99.99,1.0,0.94444444,1.0,0.0,0.97142857,0.9717607,4,182-91-45-16-45-91-182,301,0.0,0.0,1.03,0.0,0.0,2.114243224937695e-10,True
NotionNotion,model/Applications/below500/NotionNotion/NotionNotionOnly.pth,15074,14811,263,99.45,0.78125,0.95057034,0.99527378,0.00472622,0.85763293,0.85913173,4,182-91-45-16-45-91-182,917,0.00028285,0.00027106,3.9,0.00027106,0.00053701,0.0016522058285772,True
NotionNotionClendr,model/Applications/below500/NotionNotionClendr/NotionNotionClendrOnly.pth,15074,14929,145,99.69,0.80246914,0.89655172,0.99785652,0.00214348,0.84690554,0.84666128,4,182-91-45-16-45-91-182,1274,5.369e-05,3.066e-05,4.89,3.066e-05,0.00010268,0.0003238799108657,True
OenWhiserSystemsSignl,model/Applications/below500/OenWhiserSystemsSignl/OenWhiserSystemsSignlOnly.pth,15074,14997,77,99.95,1.0,0.90909091,1.0,0.0,0.95238095,0.95324015,4,182-91-45-16-45-91-182,297,0.00040238,4.148e-05,1.0,4.148e-05,0.0,4.148070729570463e-05,True
ProtonProtonDrive,model/Applications/below500/ProtonProtonDrive/ProtonProtonDriveOnly.pth,15074,15002,72,96.88,0.12570356,0.93055556,0.96893748,0.03106252,0.2214876,0.33579783,4,182-91-45-16-45-91-182,763,5.73e-06,5.76e-06,2.71,5.76e-06,2.4e-07,5.991373654978816e-06,True
RkutenViber,model/Applications/below500/RkutenViber/RkutenViberOnly.pth,15074,14774,300,96.61,0.36422136,0.94333333,0.96656288,0.03343712,0.52553389,0.57473622,4,182-91-45-16-45-91-182,1494,0.00019598,0.00015909,6.3,0.00015909,0.000496,0.00079267116962,True
SlkTehnologiesSlk,model/Applications/below500/SlkTehnologiesSlk/SlkTehnologiesSlkOnly.pth,15074,14860,214,96.92,0.30781011,0.93925234,0.96958277,0.03041723,0.46366782,0.52813763,4,182-91-45-16-45-91-182,980,0.00011276,0.00012667,3.84,0.00012667,0.00030287,0.0002291842247359,True
SlshedIoInssist,model/Applications/below500/SlshedIoInssist/SlshedIoInssistOnly.pth,15074,15047,27,99.82,0.0,0.0,1.0,0.0,0.0,0.0,4,182-91-45-16-45-91-182,303,0.00042294,1.846e-05,0.92,1.846e-05,0.0,1.8466011169948612e-05,True
SotifySotify,model/Applications/below500/SotifySotify/SotifySotifyOnly.pth,15074,14875,199,99.76,1.0,0.81909548,1.0,0.0,0.90055249,0.90394575,4,182-91-45-16-45-91-182,1537,2.418e-05,2.084e-05,5.89,2.084e-05,2.483e-05,5.962378054391593e-05,True
TIDALMusiASTIDAL,model/Applications/below500/TIDALMusiASTIDAL/TIDALMusiASTIDALOnly.pth,15074,14709,365,99.66,0.90649351,0.95616438,0.99755252,0.00244748,0.93066667,0.92924665,4,182-91-45-16-45-91-182,1596,6.081e-05,7.128e-05,6.96,7.128e-05,7.509e-05,0.0001900589850265,True
TemDriveSystemsTemDrive,model/Applications/below500/TemDriveSystemsTemDrive/TemDriveSystemsTemDriveOnly.pth,15074,15053,21,99.99,1.0,0.9047619,1.0,0.0,0.95,0.95112655,4,182-91-45-16-45-91-182,312,0.0,0.0,0.92,0.0,0.0,1.1897252627512955e-10,True
TrillinTrillin,model/Applications/below500/TrillinTrillin/TrillinTrillinOnly.pth,15074,15002,72,97.94,0.18351064,0.95833333,0.97953606,0.02046394,0.30803571,0.41462945,4,182-91-45-16-45-91-182,653,7.64e-06,7.68e-06,2.08,7.68e-06,3.7e-07,8.016287210921291e-06,True
TymnixEletorrent,model/Applications/below500/TymnixEletorrent/TymnixEletorrentOnly.pth,15074,14995,79,99.51,0.51824818,0.89873418,0.99559853,0.00440147,0.65740741,0.6804464,4,182-91-45-16-45-91-182,990,0.00015892,5.695e-05,3.2,5.695e-05,4.859e-05,0.0001459272025385,True
YndexMessenger,model/Applications/below500/YndexMessenger/YndexMessengerOnly.pth,15074,15002,72,97.6,0.16121495,0.95833333,0.97606986,0.02393014,0.276,0.38787674,4,182-91-45-16-45-91-182,678,3.39e-06,3.99e-06,2.56,3.99e-06,1.1e-06,4.726771294372156e-06,True
ZoomZoom,model/Applications/below500/ZoomZoom/ZoomZoomOnly.pth,15074,14999,75,99.92,1.0,0.84,1.0,0.0,0.91304348,0.91614873,4,182-91-45-16-45-91-182,300,0.0,0.0,0.91,0.0,0.0,8.197620360306246e-11,True
eMClienteMClient,model/Applications/below500/eMClienteMClient/eMClienteMClientOnly.pth,15074,15002,72,99.97,1.0,0.93055556,1.0,0.0,0.96402878,0.96449236,4,182-91-45-16-45-91-182,524,1.07e-06,1.12e-06,1.66,1.12e-06,2.2e-07,1.302436544392549e-06,True
